comarca,entrancia
Araçatuba,FINAL
Araraquara,FINAL
Barueri,FINAL
Bauru,FINAL
Campinas,FINAL
Diadema,FINAL
Franca,FINAL
Guarulhos,FINAL
Jundiaí,FINAL
Limeira,FINAL
Marília,FINAL
Mogi das Cruzes,FINAL
Osasco,FINAL
Piracicaba,FINAL
Praia Grande,FINAL
Presidente Prudente,FINAL
Ribeirão Preto,FINAL
Santo André,FINAL
Santos,FINAL
São Bernardo do Campo,FINAL
São Carlos,FINAL
São José dos Campos,FINAL
São José do Rio Preto,FINAL
São Paulo,FINAL
São Vicente,FINAL
Sorocaba,FINAL
Taubaté,FINAL
Americana,INTER
Andradina,INTER
Araras,INTER
Assis,INTER
Atibaia,INTER 
Avaré,INTER
Barretos,INTER
Bebedouro,INTER
Birigui,INTER
Botucatu,INTER
Bragança Paulista,INTER
Caraguatatuba,INTER
Carapicuíba,INTER
Catanduva,INTER
Cotia,INTER
Cubatão,INTER
Embu,INTER
Fernandópolis,INTER 
Francisco Morato,INTER
Franco da Rocha,INTER
Guaratinguetá,INTER
Guarujá,INTER
Hortolândia,INTER
Indaiatuba,INTER
Itanhaém,INTER
Itapecerica da Serra,INTER
Itapetininga,INTER
Itapeva,INTER
Itapevi,INTER
Itaquaquecetuba,INTER
Itatiba,INTER
Itu,INTER
Jaboticabal,INTER
Jacareí,INTER
Jales,INTER
Jaú,INTER
Leme,INTER
Lins,INTER
Matão,INTER
Mauá,INTER
Mogi Guaçu,INTER
Moji Mirim,INTER
Olímpia,INTER
Ourinhos,INTER
Penápolis,INTER
Pindamonhangaba,INTER
Poá,INTER
Registro,INTER
Ribeirão Pires,INTER
Rio Claro,INTER
Salto,INTER
Santa Bárbara DOeste,INTER
São Caetano do Sul,INTER
São João da Boa Vista,INTER
São Roque,INTER
Sertãozinho,INTER
Sumaré,INTER
Suzano,INTER
Taboão da Serra,INTER
Tatuí,INTER
Tupã,INTER
Ubatuba,INTER
Valinhos,INTER
Vinhedo,INTER
Votuporanga,INTER
Adamantina,INICIA 
Aguaí,INICIA
Águas de Lindóia,INICIA
Agudos,INICIA
Altinópolis,INICIA
Amparo,INICIA
Angatuba,INICIA
Aparecida,INICIA 
Apiaí,INICIA
Auriflama,INICIA
Bananal,INICIA
Bariri,INICIA 
Barra Bonita,INICIA 
Batatais,INICIA 
Bernardino de Campos,INICIA
Bertioga,INICIA
Bilac,INICIA
Boituva,INICIA
Borborema,INICIA
Brotas,INICIA
Buritama,INICIA
Caçapava,INICIA
Cachoeira Paulista,INICIA
Caconde,INICIA
Cafelândia,INICIA
Cajuru,INICIA
Campos do Jordão,INICIA
Cananéia,INICIA
Cândido Mota,INICIA
Capão Bonito,INICIA
Capivari,INICIA
Cardoso,INICIA
Casa Branca,INICIA
Cerqueira César,INICIA
